Test Case Identifier*,Issue Key (Update),Summary*,Action*,Data,Expected Result,Description,Test Type,Applications,Issue Links - Tests,Issue Links - Tests,Priority,Reporter,Assignee,Labels,Component/s,Affects Version/s,Fix Version/s,Environment,Attachment,Step Attachment,Comment,Pre-Condition,Test Set,Test Repository,Test Plan,Test Run,Epic Link,Status,Resolution
,,验证登录页 - 登录链接,"1. 测试步骤1
2. 测试步骤2
",,"1. 预期结果1
2. 预期结果2
",,Manual,产品名称,,,Medium,,,UI模块(#55),,,,,,,,"前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件2：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）",,,,,,,
,,验证登录页 - 登录页面,"1. 测试步骤：页面设计风格统一（可以只有测试步骤，没有预期结果)
",,,,Automation,产品名称,,,High,,,UI模块(#55),,,,,,,,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,,,,
,,验证登录页 - 控件 - 用户名输入,"1. 测试步骤
",,"1. 预期结果
",,Manual,产品名称,,,High,,,UI模块(#55),,,,,,,,"前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件2：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件3：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）",,,,,,,
,,验证登录页 - 控件 - 密码输入,"1. 测试步骤
",,"1. 预期结果1
",,Manual,产品名称,,,High,,,UI模块(#55),,,,,,,,"前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件2：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）",,,,,,,
,,验证登录页 - 控件 - 登录按钮,,,,,Manual,产品名称,,,High,,,UI模块(#55),,,,,,,,"前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件2：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）",,,,,,,
,,验证登录页 - 国际化 - 中文环境,,,,,Manual,产品名称,,,High,,,UI模块(#55),,,,,,,,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,,,,
,,验证登录页 - 国际化 - 英文环境,,,,,Manual,产品名称,,,Medium,,,UI模块(#55),,,,,,,,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,,,,
,,验证登录页 - 操作 - 有效的用户名+有效的密码,"1. 测试步骤1
2. 测试步骤2
3. 测试步骤3（可以只有测试步骤，没有预期结果）
",,"2. 预期结果
",,Automation,产品名称,,,High,,,UI模块(#55),,,,,,,,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,,,,
,,验证登录页 - 操作 - 有效的用户名+无效的密码,,,,,Automation,产品名称,,,High,,,UI模块(#55),,,,,,,,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,,,,
,,验证登录页 - 操作 - 无效的用户名+无效的密码,,,,,Automation,产品名称,,,Low,,,UI模块(#55),,,,,,,,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,,,,
,,验证个人主页,,,,,Manual,产品名称,,,Medium,,,UI模块(#55),,,,,,,,前置条件：如果测试用例上没有标注优先级，则默认作为一条测试用例且优先级默认为中（默认为空）,,,,,,,
,,用户表 - Data,,,,,Manual,产品名称,,,Medium,,,数据库模块(#56),,,,,,,,前置条件：如果测试用例上没有标注优先级，则默认作为一条测试用例且优先级默认为中（默认为空）,,,,,,,
,,用户表 - Schema,,,,,Manual,产品名称,,,Medium,,,数据库模块(#56),,,,,,,,无,,,,,,,
,,测试用例1,"1. 测试步骤1
2. 测试步骤2
",,"1. 预期结果1
2. 预期结果2
",,Manual,产品名称2,,,High,,,A模块名(#57),,,,,,,,前置条件,,,,,,,
,,测试用例2,"1. 测试步骤1
2. 测试步骤2（预期结果2可以为空）
3. 测试步骤3
4. 测试步骤4
",,"1. 预期结果1
3. 预期结果3
4. 预期结果4
",,Automation,产品名称2,,,High,,,A模块名(#57),,,,,,,,前置条件,,,,,,,
,,测试用例3（测试步骤和预期结果可以都为空）,,,,,Manual,产品名称2,,,Medium,,,A模块名(#57),,,,,,,,无,,,,,,,
,,测试步骤2（优先级默认为中）,"1. 测试步骤1
2. 测试步骤3
",,"1. 预期结果1
",,Manual,产品名称2,,,High,,,B模块名(#58),,,,,,,,无,,,,,,,
,,测试用例3（前置条件默认为空） > 无设置优先级，这里加入用例标题,,,,,Manual,产品名称2,,,Medium,,,B模块名(#58),,,,,,,,无,,,,,,,
